dataset,variant,local_layers,global_layers,probe_branch,message_depth,fold,directed_distance,expected_reachable,source_cell_id,target_cell_id,pair_drug_id,label,source_input_change,target_branch_change,baseline_logit,perturbed_logit,absolute_logit_change,signed_logit_change,source_nonzero,control_cell_id,control_target_branch_change,control_absolute_logit_change,control_nonzero
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000464,ACH-000451,10109823,1,2.550467014312744,0.0043780617415905,-0.45810770988464355,-0.4580351412296295,7.256865501403809e-05,-7.256865501403809e-05,1,ACH-000120,6.593658667952695e-07,2.9802322387695312e-08,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000464,ACH-000586,10377751,1,2.550467014312744,0.006741818971931934,1.600446343421936,1.600440502166748,5.841255187988281e-06,5.841255187988281e-06,1,ACH-000129,8.446803008155257e-07,1.1920928955078125e-07,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000472,ACH-000366,10113978,1,2.8956120014190674,0.0007849998073652387,-0.9036070704460144,-0.9036200046539307,1.2934207916259766e-05,1.2934207916259766e-05,1,ACH-000149,8.968670499598375e-07,5.960464477539063e-08,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000480,ACH-000250,10368812,1,1.6120208501815796,0.002901836298406124,1.789922833442688,1.789914846420288,7.987022399902344e-06,7.987022399902344e-06,1,ACH-000136,1.3225147768025636e-06,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000480,ACH-000670,10027278,1,1.6120208501815796,0.011490372009575367,4.1725029945373535,4.172491073608398,1.1920928955078125e-05,1.1920928955078125e-05,1,ACH-000136,7.221300393212005e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000481,ACH-000227,107969,1,2.3687095642089844,0.002446643076837063,1.3453103303909302,1.345362901687622,5.257129669189453e-05,-5.257129669189453e-05,1,ACH-000153,1.0824644505191827e-06,1.1920928955078125e-07,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000484,ACH-000062,10127622,1,3.5382142066955566,0.013986903242766857,2.9805548191070557,2.980456829071045,9.799003601074219e-05,9.799003601074219e-05,1,ACH-000142,1.0061319244414335e-06,2.384185791015625e-07,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000489,ACH-000420,11178236,1,18.31290626525879,0.0985136479139328,3.678382635116577,3.6942474842071533,0.015864849090576172,-0.015864849090576172,1,ACH-000136,8.248300673585618e-07,2.384185791015625e-07,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000515,ACH-000227,107969,1,7.817131519317627,0.021340204402804375,1.3453103303909302,1.3449256420135498,0.0003846883773803711,0.0003846883773803711,1,ACH-000162,1.054645395015541e-06,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000515,ACH-000789,10027278,1,7.817131519317627,0.030429746955633163,6.366208553314209,6.364842414855957,0.0013661384582519531,0.0013661384582519531,1,ACH-000149,9.609805147192674e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000521,ACH-000478,10027278,1,6.893460750579834,0.019505785778164864,3.312040090560913,3.3091020584106445,0.0029380321502685547,0.0029380321502685547,1,ACH-000161,8.492354481859365e-07,2.384185791015625e-07,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000522,ACH-000981,10074640,1,7.438938140869141,0.1838776022195816,3.1229116916656494,3.1157004833221436,0.007211208343505859,0.007211208343505859,1,ACH-000142,9.528590680929483e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000527,ACH-000815,10027278,1,8.487710952758789,0.016457397490739822,3.488910436630249,3.487351655960083,0.0015587806701660156,0.0015587806701660156,1,ACH-000153,9.729784551382181e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000532,ACH-000394,10368812,1,17.565738677978516,0.028579622507095337,1.902422547340393,1.9031383991241455,0.0007158517837524414,-0.0007158517837524414,1,ACH-000161,1.4433372825806146e-06,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000544,ACH-000464,104842,1,4.1251349449157715,0.011263057589530945,1.5163073539733887,1.515649676322937,0.0006576776504516602,0.0006576776504516602,1,ACH-000171,7.750036274956074e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000560,ACH-000223,11178236,1,2.2166075706481934,0.006297104060649872,4.763172149658203,4.762983798980713,0.00018835067749023438,0.00018835067749023438,1,ACH-000161,1.1715194432326825e-06,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000560,ACH-000637,107969,1,2.2166075706481934,0.00839107297360897,3.3058927059173584,3.305612802505493,0.0002799034118652344,0.0002799034118652344,1,ACH-000162,1.1791705674113473e-06,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000560,ACH-000780,126565,1,2.2166075706481934,0.0030699700582772493,0.5302800536155701,0.5303024053573608,2.2351741790771484e-05,-2.2351741790771484e-05,1,ACH-000183,8.552604526812502e-07,5.960464477539063e-08,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000573,ACH-000905,10027278,1,2.054255247116089,0.0014337231405079365,5.964212894439697,5.9642653465271,5.245208740234375e-05,-5.245208740234375e-05,1,ACH-000187,7.656717571080662e-07,0.0,1
dataset-2,local_only,2,0,graphsage_only,2,1,2,1,ACH-000585,ACH-000374,10127622,1,3.195605516433716,0.006730044726282358,2.32897686958313,2.3295223712921143,0.000545501708984375,-0.000545501708984375,1,ACH-000168,1.0654655397956958e-06,0.0,1
